model,model_gen,model_spec,trim,year,asking_price,miles_driven,fuel,seller_type,num_previous_owners,mileage,engine,max_power,torque,engine_max_power_torque
Indica,Vista,Vista TDI LX,,2011,17500,49696.9697,Diesel,Individual,1,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista Terra 1.4 TDI,,2011,10000,49696.9697,Diesel,Individual,1,17.0 kmpl,1405 CC,71 bhp,135Nm@ 2500rpm,1405 71 135@2500
Indica,Vista,Vista Terra Quadrajet 1.3L,,2011,9000,54045.45455,Diesel,Individual,1,18.0 kmpl,1248 CC,75 bhp,190Nm@ 1750rpm,1248 75 190@1750
Indica,Vista,Vista Terra TDI BSIII,,2011,3500,49696.9697,Diesel,Individual,2,17.0 kmpl,1405 CC,71 bhp,135Nm@ 2500rpm,1405 71 135@2500
Indigo,eCS,eCS CR4,,2012,15000,24848.48485,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2012,10000,55909.09091,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2012,10000,142878.7879,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2012,11499.95,115545.4545,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,CS,CS eLS BS IV,,2012,11000,55909.09091,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLS BS IV,,2012,11000,55909.09091,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLX BS IV,,2012,12950,21742.42424,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLX BS IV,,2012,12950,21742.42424,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLX BS IV,,2012,7750,31060.60606,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eVX,,2012,15000,74545.45455,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2012,8400,118030.303,Diesel,Individual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2012,8500,74545.45455,Diesel,Individual,3,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2012,7500,55909.09091,Diesel,Individual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2012,10249.95,74545.45455,Diesel,Individual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2012,10249.95,74545.45455,Diesel,Individual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2012,7500,93181.81818,Diesel,Individual,3,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2012,9000,31060.60606,Diesel,Individual,3,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,eCS,eCS LE TDI BS-III,,2012,7900,68333.33333,Diesel,Individual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,eCS,eCS LE TDI BS-III,,2012,7900,68333.33333,Diesel,Individual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,eCS,eCS LX BSIV,,2012,12300,21742.42424,Diesel,Individual,2,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,eCS,eCS LX BSIV,,2012,12300,21742.42424,Diesel,Individual,2,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,eCS,eCS LX BSIV,,2012,10000,74545.45455,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,eCS,eCS LX TDI BS-III,,2012,7000,49696.9697,Diesel,Individual,4,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,eCS,eCS VX BSIV,,2012,13000,37272.72727,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,LS,LS,,2012,4750,164621.2121,Diesel,Individual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,LX,LX,,2012,15000,49696.9697,Diesel,Individual,1,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,LX,LX,,2012,9250,49696.9697,Diesel,Individual,1,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,V2,V2 BSIII,,2012,11499.95,31060.60606,Diesel,Individual,1,17.0 kmpl,1405 CC,70 bhp,135Nm@ 2500,1427 70 13.5@2500
Indica,V2,V2 eLX,,2012,4150,55909.09091,Diesel,Individual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indica,V2,V2 GLX BSIII,,2012,10000,18684.81818,Petrol,Dealer,1,15.3 kmpl,1396 CC,70 bhp,122Nm@ 2600rpm,1396 70 122@2600
Indica,V2,V2 LSi,,2012,3750,7454.545455,Petrol,Individual,1,16.84 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,1193 64 100@2700
Indica,V2,V2 Turbomax DLS BS IV,,2012,6750,74545.45455,Diesel,Individual,2,19.0 kmpl,1405 CC,71 bhp,135 Nm at 2500 rpm,1405 71 135@2500
Indica,V2,V2 Turbomax DLS BS IV,,2012,13750,55909.09091,Diesel,Individual,2,19.0 kmpl,1405 CC,71 bhp,135 Nm at 2500 rpm,1405 71 135@2500
Indica,Vista,Vista Aqua 1.3 Quadrajet (ABS),,2012,10000,49696.9697,Diesel,Individual,2,18.0 kmpl,1248 CC,75 bhp,190 Nm at 1750 rpm,1248 75 190@1750
Indica,Vista,Vista Aqua 1.3 Quadrajet (ABS),,2012,6000,99393.93939,Diesel,Individual,2,18.0 kmpl,1248 CC,75 bhp,190 Nm at 1750 rpm,1248 75 190@1750
Indica,Vista,Vista Aqua 1.3 Quadrajet (ABS),,2012,12500,62121.21212,Diesel,Individual,2,18.0 kmpl,1248 CC,75 bhp,190 Nm at 1750 rpm,1248 75 190@1750
Indica,Vista,Vista Aqua 1.3 Quadrajet BSIV,,2012,10000,111818.1818,Diesel,Individual,1,18.4 kmpl,1248 CC,75 bhp,190 Nm at 1750 rpm,1248 75 190@1750
Indica,Vista,Vista Aqua 1.3 Quadrajet BSIV,,2012,7500,143772.0909,Diesel,Individual,2,18.4 kmpl,1248 CC,75 bhp,190 Nm at 1750 rpm,1248 75 190@1750
Indica,Vista,Vista Quadrajet LS,,2012,12000,43484.84848,Diesel,Individual,1,22.3 kmpl,1248 CC,74 bhp,190Nm@1750rpm,1248 74 190@1750
Indica,Vista,Vista Quadrajet LS,,2012,12000,43484.84848,Diesel,Individual,1,22.3 kmpl,1248 CC,74 bhp,190Nm@1750rpm,1248 74 190@1750
Indica,Vista,Vista Quadrajet LS,,2012,6250,74545.45455,Diesel,Individual,1,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,1248 74 190@1750
Indica,Vista,Vista Quadrajet VX,,2012,6500,37272.72727,Diesel,Individual,1,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,1248 74 190@1750
Indica,Vista,Vista Quadrajet VX,,2012,7500,68333.33333,Diesel,Individual,1,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,1248 74 190@1750
Indica,Vista,Vista Quadrajet VX,,2012,8750,37272.72727,Diesel,Individual,1,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,1248 74 190@1750
Indica,Vista,Vista Quadrajet VX,,2012,14250,110575.7576,Diesel,Individual,2,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,1248 74 190@1750
Indica,Vista,Vista Quadrajet VX,,2012,10000,55909.09091,Diesel,Individual,1,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,1248 74 190@1750
Indica,Vista,Vista Quadrajet VX,,2012,10000,55909.09091,Diesel,Individual,1,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,1248 74 190@1750
Indica,Vista,Vista Quadrajet VX,,2012,12500,24848.48485,Diesel,Individual,1,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,1248 74 190@1750
Indica,Vista,Vista TDI LS,,2012,5950,59015.15152,Diesel,Individual,2,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LS,,2012,8750,55909.09091,Diesel,Individual,3,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LX,,2012,13000,28575.75758,Diesel,Individual,1,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LX,,2012,7000,114924.2424,Diesel,Individual,2,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LX,,2012,9000,62121.21212,Diesel,Individual,2,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indigo,eCS,eCS CR4,,2013,12500,62121.21212,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2013,12500,62121.21212,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2013,14500,15530.30303,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2013,14500,15530.30303,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2013,14500,15530.30303,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,CS,CS eGLS BS IV,,2013,12500,31060.60606,Petrol,Individual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,1193 64 100@2700
Indigo,CS,CS eVX,,2013,11399.95,37272.72727,Diesel,Individual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eVX,,2013,11399.95,37272.72727,Diesel,Individual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS LE (TDI) BS-III,CS LE (TDI) BS-III,,2013,12500,18636.36364,Diesel,Individual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2013,8750,74545.45455,Diesel,Individual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2013,10000,108712.1212,Diesel,Individual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2013,12500,49696.9697,Diesel,Individual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2013,10000,93181.81818,Diesel,Individual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2013,7000,62121.21212,Diesel,Individual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2013,12500,74545.45455,Diesel,Individual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2013,10000,74545.45455,Diesel,Individual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2013,10000,74545.45455,Diesel,Individual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,eCS,eCS GLS,,2013,10500,74545.45455,Petrol,Individual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,1193 64 100@2700
Indigo,eCS,eCS LX BSIV,,2013,11000,49696.9697,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,eCS,eCS LX BSIV,,2013,11000,49696.9697,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,eCS,eCS VX BSIV,,2013,15000,55909.09091,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,eCS,eCS VX BSIV,,2013,15500,43484.84848,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,eCS,eCS VX BSIV,,2013,14000,43484.84848,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,eCS,eCS VX BSIV,,2013,15500,43484.84848,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,eCS,eCS VX BSIV,,2013,14000,43484.84848,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indica,V2,V2 1.2 GLE BSIII,,2013,8500,68333.33333,Petrol,Individual,2,15.3 kmpl,1193 CC,65 bhp,100Nm @ 2600rpm,1193 65 100@2600
Indica,V2,V2 DLS BSIII,,2013,8500,74545.45455,Diesel,Individual,2,17.88 kmpl,1405 CC,48 bhp,85Nm@ 2500rpm,1405 48 85@2500
Indica,Vista,Vista Aqua 1.3 Quadrajet (ABS),,2013,6500,74545.45455,Diesel,Individual,2,18.0 kmpl,1248 CC,75 bhp,190 Nm at 1750 rpm,1248 75 190@1750
Indica,Vista,Vista Quadrajet VX,,2013,10000,103742.4242,Diesel,Individual,1,22.3 kmpl,1248 CC,89 bhp,200Nm@ 1750rpm,1248 89 200@1750
Indica,Vista,Vista Quadrajet VX,,2013,16250,62121.21212,Diesel,Individual,1,22.3 kmpl,1248 CC,89 bhp,200Nm@ 1750rpm,1248 89 200@1750
Indica,Vista,Vista Quadrajet LS,,2013,6000,74545.45455,Diesel,Individual,1,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,1248 74 190@1750
Indica,Vista,Vista Quadrajet VX,,2013,9500,74545.45455,Diesel,Individual,2,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,1248 74 190@1750
Indica,Vista,Vista TDI LS,,2013,8500,100946.9697,Diesel,Individual,1,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LS,,2013,8000,68333.33333,Diesel,Individual,1,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LS,,2013,10500,83863.63636,Diesel,Dealer,2,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LS,,2013,7500,55909.09091,Diesel,Individual,2,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LX,,2013,13750,68333.33333,Diesel,Individual,1,19.1 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LX,,2013,10000,74545.45455,Diesel,Individual,1,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LX,,2013,11250,43484.84848,Diesel,Individual,2,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indigo,CS,CS eLX BS IV,,2014,10750,62121.21212,Diesel,Individual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLX BS IV,,2014,10750,62121.21212,Diesel,Individual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLX BS IV,,2014,12500,31060.60606,Diesel,Individual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2014,15000,27954.54545,Diesel,Individual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2014,11050,40378.78788,Diesel,Dealer,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2014,15000,31495.45455,Diesel,Individual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2014,11050,40378.78788,Diesel,Dealer,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2014,9250,49696.9697,Diesel,Individual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2014,9500,68333.33333,Diesel,Individual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indica,V2,V2 eLS,,2014,8000,55909.09091,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indica,V2,V2 eLX,,2014,8000,74545.45455,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indica,V2,V2 eLX,,2014,10000,34723.27273,Diesel,Individual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indica,Vista,Vista Quadrajet LS,,2014,12000,104363.6364,Diesel,Individual,2,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,1248 74 190@1750
Indica,Vista,Vista Quadrajet VX,,2014,11250,74545.45455,Diesel,Individual,1,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,1248 74 190@1750
Indica,Vista,Vista Safire GLX,,2014,10500,21742.42424,Petrol,Individual,2,16.7 kmpl,1172 CC,65 bhp,96Nm@ 3000rpm,1172 65 96@3000
Indica,Vista,Vista TDI LS,,2014,12500,74545.45455,Diesel,Individual,1,19.1 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LS,,2014,5500,155303.0303,Diesel,Individual,2,19.1 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LX,,2014,20000,27954.54545,Diesel,Individual,1,19.1 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LX,,2014,10000,74545.45455,Diesel,Individual,2,19.1 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LX,,2014,14000,62121.21212,Diesel,Individual,1,19.1 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2015,17500,32303.0303,Diesel,Individual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2015,14750,74545.45455,Diesel,Individual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2015,12500,49696.9697,Diesel,Individual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2015,12500,49696.9697,Diesel,Individual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indica,V2,V2 Emax CNG GLX,,2015,7750,37272.72727,CNG,Individual,2,23.7 km/kg,1193 CC,55 bhp,90Nm@ 2650rpm,1193 55 90@2650
Indica,Vista,Vista Quadrajet LS,,2015,12500,96287.87879,Diesel,Individual,2,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,1248 74 190@1750
Indica,Vista,Vista TDI LS,,2015,14250,43484.84848,Diesel,Individual,1,19.1 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LS,,2015,11499.95,74545.45455,Diesel,Individual,2,19.1 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LS,,2015,12000,68333.33333,Diesel,Individual,2,19.1 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2016,18750,62121.21212,Diesel,Individual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2016,22000,12424.24242,Diesel,Individual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2016,18500,55909.09091,Diesel,Individual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2016,19500,26090.90909,Diesel,Individual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2016,13000,37272.72727,Diesel,Individual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indica,V2,V2 DLX BSIII,,2016,15000,37272.72727,Diesel,Individual,2,17.88 kmpl,1405 CC,48 bhp,85Nm@ 2500rpm,1405 48 85@2500
Indica,V2,V2 eLS,,2016,10000,68333.33333,Diesel,Individual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eGLS BS IV,,2017,18100,64606.06061,Petrol,Individual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,1193 64 100@2700
Indigo,CS,CS eLX BS IV,,2017,19250,96287.87879,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLX BS IV,,2017,19250,96287.87879,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLX BS IV,,2017,17500,31060.60606,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2017,22500,43484.84848,Diesel,Individual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2017,22500,43484.84848,Diesel,Individual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,1405 69 135@2500
Indica,V2,V2 eLS,,2017,14500,24848.48485,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indica,V2,V2 eLS,,2018,12500,68333.33333,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800