make,model,model_contd,year,asking_price,miles_driven,fuel,seller_type,transmission,num_previous_owners,mileage,engine,max_power,torque,seats,engine_max_power_torque
Tata,Indigo,CR4,2011,10000,52381.22727,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2011,9450,43484.84848,Diesel,Individual,Manual,2,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2011,10000,43484.84848,Diesel,Individual,Manual,2,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2011,7650,31060.60606,Diesel,Individual,Manual,2,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2011,10500,108712.1212,Diesel,Individual,Manual,2,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2012,15000,24848.48485,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2012,10000,55909.09091,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2012,10000,142878.7879,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2012,11499.95,115545.4545,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2013,12500,62121.21212,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2013,12500,62121.21212,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2013,14500,15530.30303,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2013,14500,15530.30303,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CR4,2013,14500,15530.30303,Diesel,Individual,Manual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,CS eGLS BS IV,2013,12500,31060.60606,Petrol,Individual,Manual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,5,1193 64 100@2700
Tata,Indigo,CS eGLS BS IV,2017,18100,64606.06061,Petrol,Individual,Manual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,5,1193 64 100@2700
Tata,Indigo,CS eGLX BS IV,2011,7500,31060.60606,Petrol,Individual,Manual,2,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,5,1193 64 100@2700
Tata,Indigo,CS eGLX BS IV,2011,9050,43484.84848,Petrol,Individual,Manual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,5,1193 64 100@2700
Tata,Indigo,CS eGLX BS IV,2011,4500,55909.09091,Petrol,Individual,Manual,2,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,5,1193 64 100@2700
Tata,Indigo,CS eLS BS IV,2012,11000,55909.09091,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLS BS IV,2012,11000,55909.09091,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2010,16000,26090.90909,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2010,10000,37272.72727,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2011,7500,74545.45455,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2011,11000,49696.9697,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2012,12950,21742.42424,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2012,12950,21742.42424,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2012,7750,31060.60606,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2014,10750,62121.21212,Diesel,Individual,Manual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2014,10750,62121.21212,Diesel,Individual,Manual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2014,12500,31060.60606,Diesel,Individual,Manual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2017,19250,96287.87879,Diesel,Individual,Manual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2017,19250,96287.87879,Diesel,Individual,Manual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eLX BS IV,2017,17500,31060.60606,Diesel,Individual,Manual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eVX,2012,15000,74545.45455,Diesel,Individual,Manual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eVX,2013,11399.95,37272.72727,Diesel,Individual,Manual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS eVX,2013,11399.95,37272.72727,Diesel,Individual,Manual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,CS GLS BS-III,2011,6000,43484.84848,Petrol,Individual,Manual,2,15.2 kmpl,1193 CC,65 bhp,100Nm @ 1800 rpm,5,1193 65 100@1800
Tata,Indigo,CS GLX BS-III,2008,12500,62121.21212,Petrol,Individual,Manual,1,15.2 kmpl,1193 CC,65 bhp,110Nm @ 3500 rpm,5,1193 65 110@3500
Tata,Indigo,CS LE (TDI) BS-III,2008,4950,127348.4848,Diesel,Individual,Manual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LE (TDI) BS-III,2008,5000,74545.45455,Diesel,Individual,Manual,3,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LE (TDI) BS-III,2013,12500,18636.36364,Diesel,Individual,Manual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2009,7000,74545.45455,Diesel,Individual,Manual,3,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2009,5749.95,74545.45455,Diesel,Individual,Manual,3,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2009,8000,43484.84848,Diesel,Individual,Manual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2010,7500,43484.84848,Diesel,Individual,Manual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2012,8400,118030.303,Diesel,Individual,Manual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2012,8500,74545.45455,Diesel,Individual,Manual,3,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2012,7500,55909.09091,Diesel,Individual,Manual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2013,8750,74545.45455,Diesel,Individual,Manual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2013,10000,108712.1212,Diesel,Individual,Manual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2013,12500,49696.9697,Diesel,Individual,Manual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2014,15000,27954.54545,Diesel,Individual,Manual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2014,11050,40378.78788,Diesel,Dealer,Manual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2014,15000,31495.45455,Diesel,Individual,Manual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2014,11050,40378.78788,Diesel,Dealer,Manual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2015,17500,32303.0303,Diesel,Individual,Manual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2015,14750,74545.45455,Diesel,Individual,Manual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2016,18750,62121.21212,Diesel,Individual,Manual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2016,22000,12424.24242,Diesel,Individual,Manual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2016,18500,55909.09091,Diesel,Individual,Manual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LS (TDI) BS-III,2016,19500,26090.90909,Diesel,Individual,Manual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LS DiCOR,2010,7500,43484.84848,Diesel,Individual,Manual,3,15.7 kmpl,1405 CC,70 bhp,"140Nm @1,800rpm",5,1405 70 140@1800
Tata,Indigo,CS LX (TDI) BS-III,2008,7000,74545.45455,Diesel,Individual,Manual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2008,5000,74545.45455,Diesel,Individual,Manual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2009,7500,18636.36364,Diesel,Individual,Manual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2010,10000,108712.1212,Diesel,Individual,Manual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2012,10249.95,74545.45455,Diesel,Individual,Manual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2012,10249.95,74545.45455,Diesel,Individual,Manual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2012,7500,93181.81818,Diesel,Individual,Manual,3,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2012,9000,31060.60606,Diesel,Individual,Manual,3,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2013,10000,93181.81818,Diesel,Individual,Manual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2013,7000,62121.21212,Diesel,Individual,Manual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2013,12500,74545.45455,Diesel,Individual,Manual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2013,10000,74545.45455,Diesel,Individual,Manual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2013,10000,74545.45455,Diesel,Individual,Manual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2014,9250,49696.9697,Diesel,Individual,Manual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2014,9500,68333.33333,Diesel,Individual,Manual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2015,12500,49696.9697,Diesel,Individual,Manual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2015,12500,49696.9697,Diesel,Individual,Manual,2,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2016,13000,37272.72727,Diesel,Individual,Manual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2017,22500,43484.84848,Diesel,Individual,Manual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LX (TDI) BS-III,2017,22500,43484.84848,Diesel,Individual,Manual,1,19.09 kmpl,1405 CC,69 bhp,135Nm@ 2500rpm,5,1405 69 135@2500
Tata,Indigo,CS LX DiCOR,2010,7000,24848.48485,Diesel,Individual,Manual,1,16.6 kmpl,1405 CC,70 bhp,140Nm@1800rpm,5,1405 70 140@1800
Tata,Indica,DLS,2003,2500,43484.84848,Diesel,Individual,Manual,1,13.64 kmpl,1405 CC,54 bhp,83 Nm@ 2500 rpm,5,1405 54 83@2500
Tata,Indica,DLS,2005,3750,68333.33333,Diesel,Individual,Manual,2,13.64 kmpl,1405 CC,54 bhp,83 Nm@ 2500 rpm,5,1405 54 83@2500
Tata,Indica,DLS,2005,4750,31060.60606,Diesel,Individual,Manual,2,13.64 kmpl,1405 CC,54 bhp,83 Nm@ 2500 rpm,5,1405 54 83@2500
Tata,Indica,DLS,2005,3000,62121.21212,Diesel,Individual,Manual,4,13.64 kmpl,1405 CC,54 bhp,83 Nm@ 2500 rpm,5,1405 54 83@2500
Tata,Indica,DLS,2006,8500,47833.33333,Diesel,Individual,Manual,1,13.64 kmpl,1405 CC,54 bhp,83 Nm@ 2500 rpm,5,1405 54 83@2500
Tata,Indica,DLX,2003,2000,43484.84848,Diesel,Individual,Manual,1,13.5 kmpl,1405 CC,54 bhp,85 Nm@ 2500 rpm,5,1405 54 85@2500
Tata,Indigo,eCS GLS,2013,10500,74545.45455,Petrol,Individual,Manual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,5,1193 64 100@2700
Tata,Indigo,eCS GLX,2010,14500,40378.78788,Petrol,Individual,Manual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,5,1193 64 100@2700
Tata,Indigo,eCS GLX,2010,14500,40378.78788,Petrol,Individual,Manual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,5,1193 64 100@2700
Tata,Indigo,eCS LE TDI BS-III,2010,6750,91939.39394,Diesel,Individual,Manual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,eCS LE TDI BS-III,2012,7900,68333.33333,Diesel,Individual,Manual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,eCS LE TDI BS-III,2012,7900,68333.33333,Diesel,Individual,Manual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,eCS LX BSIV,2011,10750,43484.84848,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,eCS LX BSIV,2011,10500,108712.1212,Diesel,Individual,Manual,2,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,eCS LX BSIV,2012,12300,21742.42424,Diesel,Individual,Manual,2,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,eCS LX BSIV,2012,12300,21742.42424,Diesel,Individual,Manual,2,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,eCS LX BSIV,2012,10000,74545.45455,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,eCS LX BSIV,2013,11000,49696.9697,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,eCS LX BSIV,2013,11000,49696.9697,Diesel,Individual,Manual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,eCS LX TDI BS-III,2012,7000,49696.9697,Diesel,Individual,Manual,4,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,1396 69 135@2500
Tata,Indigo,eCS VX BSIV,2012,13000,37272.72727,Diesel,Individual,Manual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,eCS VX BSIV,2013,15000,55909.09091,Diesel,Individual,Manual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,eCS VX BSIV,2013,15500,43484.84848,Diesel,Individual,Manual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,eCS VX BSIV,2013,14000,43484.84848,Diesel,Individual,Manual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,eCS VX BSIV,2013,15500,43484.84848,Diesel,Individual,Manual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,eCS VX BSIV,2013,14000,43484.84848,Diesel,Individual,Manual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,5,1396 69 140@1800
Tata,Indigo,GLS,2005,4500,45969.69697,Petrol,Individual,Manual,2,12.8 kmpl,1396 CC,85 bhp,105Nm @2600rpm,5,1396 85 105@2600
Tata,Indica,GLS BS IV,2007,3900,23606.06061,Petrol,Individual,Manual,2,15.3 kmpl,1193 CC,65 bhp,102Nm@ 2600rpm,5,1193 65 102@2600
Tata,Indica,GLS BS IV,2007,3750,62121.21212,Petrol,Individual,Manual,2,15.3 kmpl,1193 CC,65 bhp,102Nm@ 2600rpm,5,1193 65 102@2600
Tata,Indica,GLS BS IV,2007,6250,31060.60606,Petrol,Individual,Manual,1,15.3 kmpl,1193 CC,65 bhp,102Nm@ 2600rpm,5,1193 65 102@2600
Tata,Indica,GLS BS IV,2007,4000,49696.9697,Petrol,Individual,Manual,3,15.3 kmpl,1193 CC,65 bhp,102Nm@ 2600rpm,5,1193 65 102@2600
Tata,Indica,GLS BS IV,2009,5500,70196.9697,Petrol,Individual,Manual,1,15.3 kmpl,1193 CC,65 bhp,102Nm@ 2600rpm,5,1193 65 102@2600
Tata,Indigo,GLX,2005,5000,55909.09091,Petrol,Individual,Manual,2,12.8 kmpl,1396 CC,85 bhp,"120@ 3,500rpm",5,1396 85 120@3500
Tata,Indigo,GLX,2011,7500,93181.81818,Petrol,Individual,Manual,1,12.8 kmpl,1396 CC,85 bhp,"120@ 3,500rpm",5,1396 85 120@3500
Tata,Indigo,Grand Dicor,2007,5000,55909.09091,Diesel,Individual,Manual,3,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,5,1396 70 140@1800
Tata,Indigo,Grand Petrol,2008,6750,24848.48485,Petrol,Individual,Manual,4,12.85 kmpl,1396 CC,100 bhp,124Nm@ 3500rpm,5,1396 100 124@3500
Tata,Indigo,LS,2004,4000,154184.8485,Diesel,Individual,Manual,2,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LS,2005,4500,74545.45455,Diesel,Individual,Manual,4,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LS,2007,6500,62121.21212,Diesel,Individual,Manual,3,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LS,2007,4508.85,80136.36364,Diesel,Individual,Manual,3,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LS,2008,7500,37272.72727,Diesel,Individual,Manual,3,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LS,2009,6750,85106.06061,Diesel,Individual,Manual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LS,2010,6000,62121.21212,Diesel,Individual,Manual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LS,2011,8750,53237.87879,Diesel,Individual,Manual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LS,2011,8750,53237.87879,Diesel,Individual,Manual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LS,2012,4750,164621.2121,Diesel,Individual,Manual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LS BSII,2006,5000,74545.45455,Diesel,Individual,Manual,3,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LX,2004,5000,37272.72727,Diesel,Individual,Manual,3,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LX,2005,7000,55909.09091,Diesel,Individual,Manual,3,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LX,2007,7500,74545.45455,Diesel,Individual,Manual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LX,2007,6000,83863.63636,Diesel,Individual,Manual,1,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LX,2008,4250,74545.45455,Diesel,Individual,Manual,1,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LX,2008,6000,62121.21212,Diesel,Individual,Manual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LX,2009,4250,49696.9697,Diesel,Individual,Manual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LX,2010,6500,74545.45455,Diesel,Individual,Manual,1,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LX,2010,7500,55909.09091,Diesel,Individual,Manual,1,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LX,2012,15000,49696.9697,Diesel,Individual,Manual,1,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,LX,2012,9250,49696.9697,Diesel,Individual,Manual,1,16.1 kmpl,1405 CC,70 bhp,135Nm @2500rpm,5,1405 70 135@2500
Tata,Indigo,TDI,2008,10500,62121.21212,Diesel,Individual,Manual,1,19.61 kmpl,1405 CC,70 bhp,135Nm@ 2500,5,1405 70 135@2500
Tata,Indigo,TDI,2010,20499.95,62121.21212,Diesel,Individual,Manual,2,19.61 kmpl,1405 CC,70 bhp,135Nm@ 2500,5,1405 70 135@2500
Tata,Indigo,TDI,2012,6750,90696.9697,Diesel,Individual,Manual,1,19.61 kmpl,1405 CC,70 bhp,135Nm@ 2500,5,1405 70 135@2500
